24/04/18 12:47:10 PM | ERROR: [8] Use of undefined constant IMG_RURAL_SHOP - assumed 'IMG_RURAL_SHOP'
Notice on line 27 in file /opt/lampp/htdocs/Proyectos/GiovannyProy4/classes/email/email.class.singleton.php
 | contact | response 200
24/04/18 16:36:41 PM | error loadView general | view/css | response 400
24/04/18 16:36:41 PM | error loadView general | view | response 400
24/04/18 16:36:41 PM | error loadView general | view/css | response 400
24/04/18 16:36:42 PM | error loadView general | view/css | response 400
24/04/18 16:36:44 PM | error loadView general | courses | response 4
24/04/18 16:37:47 PM | error loadView general | courses | response 4
24/04/18 16:37:50 PM | error loadView general | view/css | response 400
24/04/18 16:37:50 PM | error loadView general | view/css | response 400
24/04/18 16:37:50 PM | error loadView general | view | response 400
24/04/18 16:37:50 PM | error loadView general | view/css | response 400
24/04/18 16:37:51 PM | error loadView general | view/css | response 400
24/04/18 16:37:53 PM | error loadView general | courses | response 4
24/04/18 16:41:21 PM | error loadView general | view/css | response 400
24/04/18 16:41:21 PM | error loadView general | view | response 400
24/04/18 16:41:21 PM | error loadView general | view/css | response 400
24/04/18 16:41:22 PM | error loadView general | view/css | response 400
24/04/18 16:41:24 PM | error loadView general | view/css | response 400
24/04/18 16:41:24 PM | error loadView general | view | response 400
24/04/18 16:41:24 PM | error loadView general | view/css | response 400
24/04/18 16:41:25 PM | error loadView general | view/css | response 400
24/04/18 16:41:25 PM | error loadView general | view/css | response 400
24/04/18 16:41:28 PM | error loadView general | courses | response 4
24/04/18 16:44:25 PM | error loadView general | view/css | response 400
24/04/18 16:44:26 PM | error loadView general | view | response 400
24/04/18 16:44:26 PM | error loadView general | view/css | response 400
24/04/18 16:44:26 PM | error loadView general | view/css | response 400
24/04/18 16:44:26 PM | error loadView general | view/css | response 400
24/04/18 16:44:29 PM | error loadView general | courses | response 4
24/04/18 16:48:22 PM | error loadView general | courses | response 4
24/04/18 16:50:53 PM | error loadView general | view/css | response 400
24/04/18 16:50:53 PM | error loadView general | view | response 400
24/04/18 16:50:53 PM | error loadView general | view/css | response 400
24/04/18 16:50:53 PM | error loadView general | view/css | response 400
24/04/18 16:50:53 PM | error loadView general | view/css | response 400
24/04/18 16:50:56 PM | error loadView general | courses | response 4
24/04/18 16:51:11 PM | error loadView general | courses | response 4
24/04/18 16:52:39 PM | error loadView general | view/css | response 400
24/04/18 16:52:39 PM | error loadView general | view | response 400
24/04/18 16:52:39 PM | error loadView general | view/css | response 400
24/04/18 16:52:40 PM | error loadView general | view/css | response 400
24/04/18 16:52:40 PM | error loadView general | view/css | response 400
24/04/18 16:52:43 PM | error loadView general | courses | response 4
24/04/18 16:53:39 PM | error loadView general | courses | response 4
24/04/18 16:54:18 PM | error loadView general | courses | response 4
24/04/18 16:54:29 PM | error loadView general | courses | response 4
24/04/18 16:55:42 PM | error loadView general | courses | response 200
24/04/18 16:55:43 PM | error loadView general | view/css | response 400
24/04/18 16:55:43 PM | error loadView general | view/css | response 400
24/04/18 16:56:00 PM | error loadView general | courses | response 200
24/04/18 16:56:01 PM | error loadView general | view/css | response 400
24/04/18 16:56:01 PM | error loadView general | view/css | response 400
24/04/18 16:56:03 PM | error loadView general | courses | response 200
24/04/18 16:56:04 PM | error loadView general | view/css | response 400
24/04/18 16:56:07 PM | error loadView general | courses | response 200
24/04/18 16:58:47 PM | error loadView general | courses | response 200
24/04/18 16:58:49 PM | error loadView general | view/css | response 400
24/04/18 16:58:50 PM | error loadView general | courses | response 200
24/04/18 16:59:50 PM | error loadView general | view/css | response 400
24/04/18 16:59:51 PM | error loadView general | view/css | response 400
24/04/18 16:59:51 PM | error loadView general | media | response 400
24/04/18 17:01:40 PM | error loadView general | view/css | response 400
24/04/18 17:01:41 PM | error loadView general | view/css | response 400
24/04/18 17:01:41 PM | error loadView general | media | response 400
24/04/18 17:01:43 PM | error loadView general | view/css | response 400
24/04/18 17:01:44 PM | error loadView general | media | response 400
24/04/18 17:01:44 PM | error loadView general | view/css | response 400
24/04/18 17:01:50 PM | error loadView general | view/css | response 400
24/04/18 17:01:50 PM | error loadView general | courses | response 400
