ERROR: [8] Use of undefined constant IMG_RURAL_SHOP - assumed 'IMG_RURAL_SHOP'
Notice on line 27 in file /opt/lampp/htdocs/Proyectos/GiovannyProy4/classes/email/email.class.singleton.php
 | 24.04.2018 12:47:10  |  User:   | contact | response 200
error loadView general | 24.04.2018 16:36:41  |  User:   | view/css | response 400
error loadView general | 24.04.2018 16:36:41  |  User:   | view | response 400
error loadView general | 24.04.2018 16:36:41  |  User:   | view/css | response 400
error loadView general | 24.04.2018 16:36:42  |  User:   | view/css | response 400
error loadView general | 24.04.2018 16:36:44  |  User:   | courses | response 4
error loadView general | 24.04.2018 16:37:47  |  User:   | courses | response 4
error loadView general | 24.04.2018 16:37:50  |  User:   | view/css | response 400
error loadView general | 24.04.2018 16:37:50  |  User:   | view/css | response 400
error loadView general | 24.04.2018 16:37:50  |  User:   | view | response 400
error loadView general | 24.04.2018 16:37:50  |  User:   | view/css | response 400
error loadView general | 24.04.2018 16:37:51  |  User:   | view/css | response 400
error loadView general | 24.04.2018 16:37:53  |  User:   | courses | response 4
error loadView general | 24.04.2018 16:41:21  |  User:   | view/css | response 400
error loadView general | 24.04.2018 16:41:21  |  User:   | view | response 400
error loadView general | 24.04.2018 16:41:21  |  User:   | view/css | response 400
error loadView general | 24.04.2018 16:41:22  |  User:   | view/css | response 400
error loadView general | 24.04.2018 16:41:24  |  User:   | view/css | response 400
error loadView general | 24.04.2018 16:41:24  |  User:   | view | response 400
error loadView general | 24.04.2018 16:41:24  |  User:   | view/css | response 400
error loadView general | 24.04.2018 16:41:25  |  User:   | view/css | response 400
error loadView general | 24.04.2018 16:41:25  |  User:   | view/css | response 400
error loadView general | 24.04.2018 16:41:28  |  User:   | courses | response 4
error loadView general | 24.04.2018 16:44:25  |  User:   | view/css | response 400
error loadView general | 24.04.2018 16:44:26  |  User:   | view | response 400
error loadView general | 24.04.2018 16:44:26  |  User:   | view/css | response 400
error loadView general | 24.04.2018 16:44:26  |  User:   | view/css | response 400
error loadView general | 24.04.2018 16:44:26  |  User:   | view/css | response 400
error loadView general | 24.04.2018 16:44:29  |  User:   | courses | response 4
error loadView general | 24.04.2018 16:48:22  |  User:   | courses | response 4
error loadView general | 24.04.2018 16:50:53  |  User:   | view/css | response 400
error loadView general | 24.04.2018 16:50:53  |  User:   | view | response 400
error loadView general | 24.04.2018 16:50:53  |  User:   | view/css | response 400
error loadView general | 24.04.2018 16:50:53  |  User:   | view/css | response 400
error loadView general | 24.04.2018 16:50:53  |  User:   | view/css | response 400
error loadView general | 24.04.2018 16:50:56  |  User:   | courses | response 4
error loadView general | 24.04.2018 16:51:11  |  User:   | courses | response 4
error loadView general | 24.04.2018 16:52:39  |  User:   | view/css | response 400
error loadView general | 24.04.2018 16:52:39  |  User:   | view | response 400
error loadView general | 24.04.2018 16:52:39  |  User:   | view/css | response 400
error loadView general | 24.04.2018 16:52:40  |  User:   | view/css | response 400
error loadView general | 24.04.2018 16:52:40  |  User:   | view/css | response 400
error loadView general | 24.04.2018 16:52:43  |  User:   | courses | response 4
